Category,License Option,Detail Type,LARCACM
Interfaces,Safety manager and FSC integration,License,Unlicensed
Interfaces,GE Fanuc 90 PLC,License,Unlicensed
Interfaces,GEM 80,License,Unlicensed
Interfaces,Hitachi,License,Unlicensed
Interfaces,IEC60870 system interface,License,Unlicensed
Interfaces,IEC61850 system interface,License,Unlicensed
Interfaces,TDC 3000 LCN interface,License,Unlicensed
Interfaces,LCS 620,License,Unlicensed
Interfaces,Yamatake MA500,License,Unlicensed
Interfaces,Micromax,License,Unlicensed
Interfaces,MasterLogic server,License,Unlicensed
Interfaces,Modbus,License,Unlicensed
Interfaces,Moore,License,Unlicensed
Interfaces,OPC advanced client,License,Licensed
Interfaces,OPC client interface,License,Unlicensed
Interfaces,PMD integration,License,Unlicensed
Interfaces,QCS integration,License,Unlicensed
Interfaces,Relational point server,License,Licensed
Interfaces,Series 9000,License,Unlicensed
Interfaces,Siemens PLC,License,Unlicensed
Interfaces,TDC Data Hiway interface,License,Unlicensed
Interfaces,TPS enabler,License,Unlicensed
Interfaces,UDC,License,Unlicensed
Interfaces,ABB Totalflow - Interface,License,Unlicensed
Interfaces,ABB Totalflow - EFM enabler,License,Unlicensed
Interfaces,Allen Bradley - Serial,License,Unlicensed
Interfaces,Allen Bradley - Rslinx,License,Unlicensed
Interfaces,Allen Bradley - Interface,License,Unlicensed
Interfaces,Bristol Babcock - Interface,License,Unlicensed
Interfaces,Bristol Babcock - EFM enabler (Open BSI),License,Unlicensed
Interfaces,DNP3 - Interface,License,Unlicensed
Interfaces,DNP3 - History backfill,License,Unlicensed
Interfaces,DNP3 - EFM enabler,License,Unlicensed
Interfaces,Enron Modbus - EFM enabler,License,Unlicensed
Interfaces,Enron Modbus - Interface,License,Unlicensed
Interfaces,Fisher ROC - Interface,License,Unlicensed
Interfaces,Fisher ROC - EFM enabler,License,Unlicensed
Interfaces,FlowX - Interface,License,Unlicensed
Interfaces,FlowX - EFM enabler,License,Unlicensed
Interfaces,MQTT - Interface,License,Unlicensed
Interfaces,Omni - Interface,License,Unlicensed
Interfaces,Omni - EFM enabler,License,Unlicensed
Interfaces,Universal Modbus - History backfill,License,Unlicensed
Interfaces,Universal Modbus - Interface,License,Unlicensed
Engineering tools - HMIWeb display builder,Display builder,License,0
Engineering tools - HMIWeb display builder,Display repository,License,Unlicensed
Engineering tools - Quick builder,Quick builder client(s),License,1
Engineering tools - Features,Advanced Batch Point(s),License,0
Engineering tools - Features,Batch option - tier 1 point(s) ,License,0
Engineering tools - Features,Control builder bulk build support,License,Unlicensed
Engineering tools - Features,Control builder bulk configuration tools add-in support,License,Unlicensed
Engineering tools - Features,CAB developer license(s),License,0
Engineering tools - Features,Control builder template support,License,Unlicensed
Engineering tools - Features,Control builder client(s),License,0
Engineering tools - Features,CN100 control and IO solver(s) - medium,License,0
Engineering tools - Features,CN100 control and IO solver(s) - simulation,License,0
Engineering tools - Features,CN100 control and IO solver(s) - small,License,0
Engineering tools - Features,Regulatory compliance license(s),License,0
Engineering tools - Features,UOC Control Solver(s) with Profinet,License,0
Engineering tools - Features,Qualification and version control,License,Unlicensed
Engineering tools - Features,Controller communications encryption,License,Unlicensed
Engineering tools - Libraries,Allen bradley drive interface library,License,Unlicensed
Engineering tools - Libraries,Interlock FB library,License,Unlicensed
Engineering tools - Libraries,Mettler toledo jagxtreme library,License,Unlicensed
Engineering tools - Libraries,Meter suite library,License,0
Engineering tools - Libraries,Path control library,License,Unlicensed
Engineering tools - Libraries,Mettler toledo Q.impact library,License,Unlicensed
Engineering tools - Templates,C200/C200E control solver(s),License,0
Engineering tools - Templates,ACE simulation environment(s),License,0
Engineering tools - Templates,ACE TPS,License,0
Engineering tools - Templates,Application control environment(s),License,0
Engineering tools - Templates,ACE rapid restart,License,Unlicensed
Engineering tools - Templates,C300 control solver(s),License,0
Engineering tools - Templates,C300 control solver(s) 20 ms,License,0
Engineering tools - Templates,C300 control solver(s) ethernet/IP,License,0
Engineering tools - Templates,Control HIVE controller(s),License,0
Engineering tools - Templates,Control HIVE virtual controller(s),License,0
Engineering tools - Templates,Devicenet interface(s),License,0
Engineering tools - Templates,EHPM connection(s),License,0
Engineering tools - Templates,Ethernet interface module(s) - ethernet/IP,License,0
Engineering tools - Templates,Ethernet interface module(s) - IEC61850,License,0
Engineering tools - Templates,Ethernet interface module(s) - Modbus TCP,License,0
Engineering tools - Templates,Ethernet interface module(s) - Profinet,License,0
Engineering tools - Templates,Foundation fieldbus simulation interface(s),License,0
Engineering tools - Templates,Foundation fieldbus interface(s),License,0
Engineering tools - Templates,H-FDCM direct access,License,Unlicensed
Engineering tools - Templates,Hiway output function blocks,License,Unlicensed
Engineering tools - Templates,Experion hiway gateway(s) and SIM-EHG(s),License,0
Engineering tools - Templates,Intelligent choke function block(s),License,0
Engineering tools - Templates,OPC extension library,License,Unlicensed
Engineering tools - Templates,Power function blocks,License,Unlicensed
Engineering tools - Templates,Procedural operations,License,Unlicensed
Engineering tools - Templates,Profibus interface(s),License,0
Engineering tools - Templates,CEE profit control MV(s),License,0
Engineering tools - Templates,CX00 simulation environment(s),License,0
Engineering tools - Templates,TCMI triconex,License,0
Engineering tools - Templates,UCN output function blocks,License,Unlicensed
Engineering tools - Templates,Peer control data interface(s),License,0
Engineering tools - Templates,ControlEdge UOC process solver(s),License,0
Engineering tools - Templates,Secure communication embedded count,License,0
Engineering tools - Templates,Secure communication windows count,License,0
Engineering tools - ELCN,ELCN AM single,License,0
Engineering tools - ELCN,ELCN AM redundant,License,0
Engineering tools - ELCN,ELCN EHB single,License,0
Engineering tools - ELCN,ELCN EHB redundant,License,0
Engineering tools - ELCN,ELCN enabler(s),License,0
Engineering tools - ELCN,ELCN ENIM single,License,0
Engineering tools - ELCN,ELCN ENIM redundant,License,0
Engineering tools - ELCN,ELCN EPLCG single,License,0
Engineering tools - ELCN,ELCN EPLCG redundant,License,0
Engineering tools - ELCN,ELCN HM single,License,0
Engineering tools - ELCN,ELCN NG single,License,0
Engineering tools - ELCN,Virtualization ELCN appliance(s),License,0
Recipe control module,Maximum active RCM instance(s),License,0
Recipe control module,Maximum active RCM instance(s),Used,0
Recipe control module,Maximum active RCM instance(s),Available,0
Recipe control module,Maximum active RCM instance(s),Used - 1/26/2026 ,0
Recipe control module,Maximum active RCM instance(s),Used - 1/25/2026 ,0
Recipe control module,Maximum active RCM instance(s),Used - 1/24/2026 ,0
Recipe control module,Maximum active RCM instance(s),Used - 1/23/2026 ,0
Recipe control module,Maximum active RCM instance(s),Used - 1/22/2026 ,0
Recipe control module,Maximum active RCM instance(s),Used - 1/21/2026 ,0
Recipe control module,Maximum active RCM instance(s),Used - 1/20/2026 ,0
